Week,County,Sales
3/5/2011,HERKIMER    ,4557
3/5/2011,JEFFERSON   ,7675
3/5/2011,KINGS       ,262477
3/5/2011,LEWIS       ,1603
3/5/2011,LIVINGSTON  ,5429
3/5/2011,MADISON     ,5185
3/5/2011,MONROE      ,75173
3/5/2011,MONTGOMERY  ,5744
3/5/2011,NASSAU      ,225809
3/5/2011,NEW YORK    ,264027
3/5/2011,NIAGARA     ,17371
3/5/2011,ONEIDA      ,19844
3/5/2011,ONONDAGA    ,44522
3/5/2011,ONTARIO     ,10728
3/5/2011,ORANGE      ,47564
3/5/2011,ORLEANS     ,3163
3/5/2011,OSWEGO      ,9942
3/5/2011,OTSEGO      ,4566
3/5/2011,PUTNAM      ,16864
3/5/2011,QUEENS      ,291907
3/5/2011,RENSSELAER  ,15932
3/5/2011,RICHMOND    ,73461
3/5/2011,ROCKLAND    ,47898
3/5/2011,SARATOGA    ,21891
3/5/2011,SCHENECTADY ,220177
3/5/2011,SCHOHARIE   ,2295
3/5/2011,SCHUYLER    ,1437
3/5/2011,SENECA      ,2865
3/5/2011,ST. LAWRENCE,7735
3/5/2011,STEUBEN     ,8051
3/5/2011,SUFFOLK     ,229657
3/5/2011,SULLIVAN    ,8587
3/5/2011,TIOGA       ,3838
3/5/2011,TOMPKINS    ,6119
3/5/2011,ULSTER      ,20469
3/5/2011,WARREN      ,7842
3/5/2011,WASHINGTON  ,4908
3/5/2011,WAYNE       ,7695
3/5/2011,WESTCHESTER ,140432
3/5/2011,WYOMING     ,3306
3/5/2011,YATES       ,1449
3/12/2011,ALBANY      ,30785
3/12/2011,ALLEGANY    ,2664
3/12/2011,BRONX       ,146225
3/12/2011,BROOME      ,16948
3/12/2011,CATTARAUGUS ,6151
3/12/2011,CAYUGA      ,6916
3/12/2011,CHAUTAUQUA  ,9910
3/12/2011,CHEMUNG     ,6723
3/12/2011,CHENANGO    ,3725
3/12/2011,CLINTON     ,5418
3/12/2011,COLUMBIA    ,6566
3/12/2011,CORTLAND    ,3573
3/12/2011,DELAWARE    ,4667
3/12/2011,DUTCHESS    ,35504
3/12/2011,ERIE        ,84866
3/12/2011,ESSEX       ,2740
3/12/2011,FRANKLIN    ,3378
3/12/2011,FULTON      ,5175
3/12/2011,GENESEE     ,4746
3/12/2011,GREENE      ,5643
3/12/2011,HAMILTON    ,396
3/12/2011,HERKIMER    ,4564
3/12/2011,JEFFERSON   ,7941
3/12/2011,KINGS       ,261826
3/12/2011,LEWIS       ,1568
3/12/2011,LIVINGSTON  ,5015
3/12/2011,MADISON     ,4897
3/12/2011,MONROE      ,73814
3/12/2011,MONTGOMERY  ,5658
3/12/2011,NASSAU      ,226243
3/12/2011,NEW YORK    ,261356
3/12/2011,NIAGARA     ,17265
3/12/2011,ONEIDA      ,19228
3/12/2011,ONONDAGA    ,43502
3/12/2011,ONTARIO     ,10350
3/12/2011,ORANGE      ,47750
3/12/2011,ORLEANS     ,3049
3/12/2011,OSWEGO      ,9981
3/12/2011,OTSEGO      ,4378
3/12/2011,PUTNAM      ,16947
3/12/2011,QUEENS      ,291774
3/12/2011,RENSSELAER  ,15793
3/12/2011,RICHMOND    ,72169
3/12/2011,ROCKLAND    ,47557
3/12/2011,SARATOGA    ,21269
3/12/2011,SCHENECTADY ,219278
3/12/2011,SCHOHARIE   ,2345
3/12/2011,SCHUYLER    ,1375
3/12/2011,SENECA      ,2967
3/12/2011,ST. LAWRENCE,7901
3/12/2011,STEUBEN     ,7976
3/12/2011,SUFFOLK     ,229072
3/12/2011,SULLIVAN    ,8739
3/12/2011,TIOGA       ,3788
3/12/2011,TOMPKINS    ,6243
3/12/2011,ULSTER      ,19967
3/12/2011,WARREN      ,7215
3/12/2011,WASHINGTON  ,4716
3/12/2011,WAYNE       ,7822
3/12/2011,WESTCHESTER ,137985
3/12/2011,WYOMING     ,3245
3/12/2011,YATES       ,1460
3/19/2011,ALBANY      ,31167
3/19/2011,ALLEGANY    ,2638
3/19/2011,BRONX       ,148494
3/19/2011,BROOME      ,17535
3/19/2011,CATTARAUGUS ,6174
3/19/2011,CAYUGA      ,7043
3/19/2011,CHAUTAUQUA  ,10101
3/19/2011,CHEMUNG     ,6967
3/19/2011,CHENANGO    ,3736
3/19/2011,CLINTON     ,5511
3/19/2011,COLUMBIA    ,6465
3/19/2011,CORTLAND    ,3891
3/19/2011,DELAWARE    ,4519
3/19/2011,DUTCHESS    ,36054
3/19/2011,ERIE        ,85830
3/19/2011,ESSEX       ,2756
3/19/2011,FRANKLIN    ,3589
3/19/2011,FULTON      ,5497
3/19/2011,GENESEE     ,4717
3/19/2011,GREENE      ,5861
3/19/2011,HAMILTON    ,375
3/19/2011,HERKIMER    ,4841
3/19/2011,JEFFERSON   ,8136
3/19/2011,KINGS       ,268754
3/19/2011,LEWIS       ,1628
3/19/2011,LIVINGSTON  ,5026
3/19/2011,MADISON     ,5084
3/19/2011,MONROE      ,74156
3/19/2011,MONTGOMERY  ,5686
3/19/2011,NASSAU      ,229969
3/19/2011,NEW YORK    ,269417
3/19/2011,NIAGARA     ,16897
3/19/2011,ONEIDA      ,19229
3/19/2011,ONONDAGA    ,44061
3/19/2011,ONTARIO     ,10532
3/19/2011,ORANGE      ,48342
3/19/2011,ORLEANS     ,2968
3/19/2011,OSWEGO      ,10018
3/19/2011,OTSEGO      ,4628
3/19/2011,PUTNAM      ,17127
3/19/2011,QUEENS      ,297338
3/19/2011,RENSSELAER  ,15782
3/19/2011,RICHMOND    ,74287
3/19/2011,ROCKLAND    ,48312
3/19/2011,SARATOGA    ,21837
3/19/2011,SCHENECTADY ,220229
3/19/2011,SCHOHARIE   ,2294
3/19/2011,SCHUYLER    ,1512
3/19/2011,SENECA      ,2775
3/19/2011,ST. LAWRENCE,8064
3/19/2011,STEUBEN     ,8128
3/19/2011,SUFFOLK     ,232777
3/19/2011,SULLIVAN    ,8905
3/19/2011,TIOGA       ,3869
3/19/2011,TOMPKINS    ,6583
